3,what is the most common causes of persistent proteinuria !diagnosis?,,These are the common causes of persistent proteinuria....\\n \\nDehydration \\nEmotional stress \\nFever \\nHeat injury \\nInflammatory process \\n Intense activity \\nMost acute illnesses \\nOrthostatic (postural) disorder
4,"If you 'had to' give a dissertation today, what would you choose as your topic?",,Society...
8,where can i find like emo/scene/hardcore myspace layouts?,i like the more darker emo/scene/hardcore type of layouts..,"Use Thomas Myspace Layout.  It will allow you to customize your profile to dark colors, settings, etc.  You will need to provide your own picture if you desire.\\n\\nhttp://www.strikefile.com/myspace"
7,what does yahoo mean?,,"The word ""Yahoo"" was originated in English by Jonathan Swift in his tremendously influential novel of 1726, ""Gulliver's Travels."" In Gulliver's fourth journey, he visited a land populated by an intelligent race of horses called the Houyhnhnm, who are completely controlled by reason and rational thought. They dominate the a race of hideous beasts known as Yahoos, who are human beings in the same form as Gulliver. Gulliver soon befriends the Houyhnhnm despite his own Yahoo-like appearance and soon loathes the race of Yahoos. When he returns home at the end of his voyage, since the Houyhnhnms no longer are able to keep this Yahoo-like creature around, the novel ends darkly with Gulliver despising all human interaction and longing for the horse race. ""Yahoo"" is a term for a human being who is crude and boorish in all his desires.\\n\\nThe founders of Yahoo! have stated that the term they selected is an acronym for ""Yet Another Hierarchically Organized Object,"" since their fledgling Yahoo! project was just another one of those internet sites assimilating information into digital form."
4,Is it an obligation  for kid to have pre- school  programe before the kindergarden?,I would like to know does the kid 3 and half years old have to go to pre-school programme in the order for him to be admited to  the kindergarden,"Don't buy into the whole idea that you have to have your child attend pre-school. It's just another way for the educational system to get more tax money. You can easily educate your child at home and produce far better results yourself. My mom decided to school me herself before I went to Kinder. I learned to read,write and count and was placed in Advanced Kinder as a result. I was then skipped two grades. It wasn't that I was advanced, it was that my mom took time for me. She wasn't worried about ""finding herself"" or ""climbing the corporate ladder"". She was concerned about my future. I am with the person that said that pre-school is a convenient place to drop off your children while you do more ""important"" things."
6,Has anyone been snow boarding/skiing at xscape braehead?,How much is it whats included can anyone do it ?,"Here is the website, it has all the details.  http://www.xscape.co.uk/snow/braehead/\\nA friend's husband goes, he has plenty of money but really its ridiculously expensive.  Over £30 for a session of skiing or snowboarding including equipment and jacket hire. you MUST bring your own gloves.  A session is 90 mins if I remember.   My son wanted to go with his pals but there is no way, once they realised the cost."
9,is  there any teamwork or just freinship & on wha does this group based on?,i want real freindship;thats all,
6,Question about tonight's ppv? (survivor series)?,"i live in the middle east,\\nand my subscribsion in  showtime just ran out of date!!!\\nis there another free channel that i can watch the ppv with?\\nor even a website ?\\nplease!!!!!!",WWE.COM \\nu can..cauze if u go to wwe.com u can watch a live webcast.\\nHOPE I HELPED...
4,Why cant we tranfer digital signals as an analog signals?,,"you can - convert it into analog and trasmit along the analog line. If you convert between analog and digital too many times tho, the quality deteriorates. A good example is poor cell phone connection."
9,Does anyone else out there wish that getting married were like grocery shopping?,Sometimes I just wish that I could find what I want on the shelves....okay this is what I want and this is how I want it...and I want it today!,"Have a question more than an answer - where do you look for guys?  What are your true interests in life and do you try to meet men while doing those interest?  One final question - are your standards so high that no one can possibly meet them?  Yeah, I guess if you could just place an order and zap, there that person is might be nice.  I don't think there are ever any ""perfect"" matches, but that is what makes life truly wonderful - experiencing what either has to offer.  He is out there for you - you just have to be patient.  In the meantime enjoy life's ride and pleasures along the way.  Best of luck to you!\\nJoe"
6,how does cheer leading make u popular?,,"Like many activities, you make new friends, show off your self-confidence (among other things), and show school spirit.  It's tough to be a wallflower when you're a cheerleader."
10,How can i find out the exact date and time that a ga inmate will be released?,,"First, it depends on who you are and your relationship to the inmate.  For the most part, that type of information is not public, and security and safety reasons, the institution will not release it.  \\n\\nHowever, for example, if you are a wife, and your husband is about to be released, he will know the exact day.  Then you can arrange with the institution for the time that you can meet him.\\n\\nIf you are a victim of the inmate, again, release is not public information."
5,"I canot open any of my files that have been sent by email, what do I need to do????",,first try sending to a different computer if it works then u should check whether applications supporting the files are available on computer the files where sent to or check whether the files have been compressed or zipped and open it with a file compressor software.  good luck.
8,who sang oh susana on the original album?,,wasn't it stephen foster?
10,where do you find out if a person is a deserter from the army?,,"Leave her/him alone.  If they're meant to be found, they will be.  I believe the status of desertion is marked on every public record the person may have, so it'll come up if they get stopped for a traffic violation, any time they want to get a loan, apply for school, a credit card, a job . . . eventually, these things usually work themselves out.\\n\\nBesides, I'm sure the people over there don't want someone there who doesn't  want to be there.  It's dangerous."
2,Really confused???? I don't know where to start?,"A 1.00-kg object is attached to a horizontal spring. The spring is initially stretched by 0.100 m, and the object is released from rest there.  It proceeds to move without friction. The next time the speed of the object is zero is 0.500 s later.  What is the maximum speed of the object","Okay, this is an example of simple harmonic motion (SHM).If the velocity is zero after 0.5s, this means the period of oscillation (T) is 2x0.5s = 1.0sec. If the initial displacement is 0.1m, then the amplitude of oscillation (A) is 2x0.1m = 0.2m. The maximum speed of the object will be achieved when the displacement is 0. The equation for the displacement for SHM is:\\n\\ny = Asin(2pift + pi/2) where A is the amplitude, f is the frequency = 1/T and disp = initial displacement, and t = time.\\n\\nSo the velocity is given by the time derivative of displacement:\\n\\nv = Acos(2pift + pi/2) = 0.2cos(2pit + pi/2)\\n\\nNow, since the maximum velocity is achieved after 0.25s (the max velocity is when the object passes through the origin which will be after half the time taken to reach the other end of the cycle);\\n\\nv = 0.2cos(pi/2 + pi/2) = 0.2cos pi = -0.2m/s\\n\\nqed"
8,"Does any one have the movie "" I am cuba""?",,why do u ask that?
2,describe the true shape of earth orbit?,,The Earth's orbit is elliptical in shape.
10,Is the Patriot Act actually patriotic -- or what?,Is it Constitutional (US)? What else would you add?,We dont not need this. We already clearly know who the enemy is.
2,"In angiosperms, where does photosynthesis take place?",A. guarded cells\\nB. stomata\\nC. epidermal layer\\nD. palisade parenchyma\\nE. spongy parenchyma,Angiosperms are your regular flowering plant.  I assume you are studying biology so you know about photosynthesis so it happens in the big long cells called palisade cells in the green leaves. So D then.
6,Will the 'Ole Ball Coach' steal a win in his 'Swamp' ?,,"No.  USC will not win, but they will cover the 12 point spread."
9,What is better sex before marriage or marriage before sex?,,"for me, definitely better since we got married. we're more open with each other. we're willing to try new things. before we were married, we were always rushed. now we have time to enjoy each other. falling asleep and waking up together sometimes is the best part, just knowing that he's still there."
8,Does anyone know what the best romatic song is??,"I need a romatic song that will put tears in your eyes just by listening to it. doesnt matter if rock, rap, soul.........any",Percy Sledge...When A Man Loves A Woman
5,is it possible to get dsl from another telephone company than the one you are with now?,I have sprint but I want Yahoo SBC dsl is this possible and if not what are my options.Please!,"You absolutely can!  DSL is deregulated, meaning you can get your DSL service from any DSL provider in your area.  While some service providers have restrictions on their subscriptions (i.e. having to purchase your local phone service from them as well), it is ILLEGAL for your phone company to deny you DSL service from any other providers in your area, just like it is ILLEGAL for them to deny you local phone service from any other providers in your area.\\n\\nThere are several DSL providers nationwide (SBC, Verizon, Covad, PacBell (in California), etc.).\\n\\nA quick search of Yahoo gave the following:\\n\\nhttp://dir.yahoo.com/Business_and_Economy/Business_to_Business/Communications_and_Networking/Broadband/Digital_Subscriber_Line__DSL_/\\n\\nHowever, your options as to whom provides DSL in your area may be limited.  Call around to find out who provides service in your area."
5,What does these lines in C mean?,"I'm currently learning C... And I don't have the idea why my instructor gave me this code...\\n\\n#include <stdio.h>\\n#include <conio.h>\\nmain()\\n{\\nprintf(""Hello World"");\\ngetch();\\n}\\n\\nCan someone help me with this? To explain how each line works and why there are brackets and semi-colons found withing the code...\\nAlso...why in line 3, there is ""main()"".\\nAnd what is the use of ""getch()"" & ""printf()""?\\n\\nPlease...I badly need your help...","I think you need to pick up a book and start studying. this is the most basic of programs, and if you cant understand this, then its time to decide on another career path. Im not trying to be mean or anything, just pointing out the reality."
5,do i need burned to get my limewire music on cd?,does my computer need to be equipped with a burner or can i just do it in the c drive. sorry might sound like a dumb question but im electronic illiterate. thank u=),"limewire is only a downloading software. so you can install it on the c: drive and download files. \\n\\nbut,... to burn cd's you will need a BURNER."
1,what is the most popular website in America?,,1. Yahoo\\n2. MSN\\n3. Google\\n4. Ebay\\n5. Myspace
3,Whats the BEST THING for my toothache !!!   Its hurting!! Can't get to dentist yet...?,,"dclove oil is best  put on cotton ball and into cavity--\\n\\nI do know though once I used it a lot and I started getting te awfullest, metallic taste in my mouth..It eventually went away when I stop but many I used it too long??\\nSchool of natural healing lists the following herbs for toothache:\\nbayberry, black walnut, carrot, cayenne, comfrey, echinacea, golenseal, mullein, poke, sage, and senna..  Prickley ash's nickname are toothache bark and toothache bush for it most have a history..buy clove oil at the drugstore."
5,"how do i keep my yahoo web search clear OR how do I clear it out?i hit the letter ""w"" it shows my history thx",,click on the pencil icon and then click clear recent searches for your Yahoo search bar.
6,What all bike tricks can you people do?,"I can do a triple barspin, i can sit on my handle bars facing backwards and ride my bike all day, i can stand on my two side pegs and go no handed, same as all my other pegs, im just a small town kid lookin for people nearbye that know how to ride i live in suring wi 54174 near green bay for all you flatlanders ha ha,","Nope, I can ride faster :)"
7,how can i become a model?,"im only 14, but i think i have the looks of becoming a model, not like im conceited or anything. THANKS!!!","You should use the website I use....you can start with a free account and once you start getting jobs you can upgrade.  I have recieved a lot of calls with my free account and you can to.\\n\\nwww.onemodelplace.com\\n\\nGood Luck......its a start...models need a portfolio before they get an agent...the portfolio will sell your image to agents.  and I totally disagree with what someone said about models being conceided.  Thats not true, its not being conceided if you feel positive about yourself.  Its just like any other job."
1,where did buddhism orginate?,where and how did the religion orginate and during what time frame in history?,Buddhism was founded in Northern India by Siddhartha Gautama in 535 BCE. Learn more here: http://www.religioustolerance.org/buddhism.htm
5,Computers is good for learning. True or false?,,True.
5,Select Distinct will leave duplicates out.  Need a commmand to find duplicate in a column?,,"SELECT email,\\nCOUNT(email) AS NumOccurrences\\nFROM users\\nGROUP BY email\\nHAVING ( COUNT(email) > 1 )"
4,Is purdue university a good university?,,www.collegedirt.com\\nIts gives you the real facts of the colleges from students there
6,The Memphis Grizzilies have the 24th selection in this year's NBA Draft... which player should they pick?,Unofficial Yahoo Answers Mock Draft\\n1.*Toronto- Adam Morrison*\\nhttp://answers.yahoo.com/question/index;_ylt=AighMmTUUL6yjlufKjwPcXLsy6IX?qid=1006052325058\\n2.*Chicago- LaMarcus Aldridge*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006052327910\\n3.*Charlotte- Rudy Gay*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006052521249\\n4.*Portland- Tyrus Thomas*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006052654631\\n5.*Atlanta- Marcus Williams*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006052717172\\n6.*Minnesota- Andrea Bargnani*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006052818385\\n7.*Boston- Patrick O'Bryant*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006052919756\\n8.*Houston- Randy Foye*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006053020000\\n9.*Golden State- Rodney Carney*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006053123279\\n10.*Seattle- Shelden Williams*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006060120447\\n11.*Orlando- Brandon Roy*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=1006060222006\\n12. New Orleans- J.J. Redick*\\nhttp://answers.yahoo.com/question/;_ylt=AuV0PIWSwEBCB8iu_gydiSkezKIX?link=select&qid=20060605144533AAPI9tE&kid=AA11058666\\n13.*Philadelphia- Cedric Simmons*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060606201406AAvnApB\\n14.*Utah- Maurice Ager*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060607185722AASgdVa\\n15.*New Orleans- Shawne Williams*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060608194039AARwT0g\\n16.*Chicago- Ronnie Brewer*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060609203738AAik1vF\\n17.*Indiana- Jordan Farmar*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060610192749AATohFL\\n18.*Washington- Aaron Gray*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060611195758AAWvwGd\\n19.*Sacramento- Hilton Armstrong*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060612195036AAgrYrZ \\n20.*New York- Oleksiy Pecherov*\\nhttp://answers.yahoo.com/question/?link=best&qid=20060613194834AAaBMTN&r=w&pa=F5xxBXHpPmKSlmhy00sKlADXseUJlfj78QFSnSujAusnKumkCVV5PA-- \\n21.*Phoenix- Sergio Rodríguez*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060614211829AAjWSwJ \\n22.*New Jersey- Paul Davis*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060615194919AAWDYuh\\n23.*New Jersey- Saer Sene*\\nhttp://answers.yahoo.com/question/index;_ylt=AvtMn1SDCfKJCaB.okG49__sy6IX?qid=20060615194919AAWDYuh,mike gansey. once again i choose someone from my state but he should be the one to go first. he has one of the best basketball minds ever he has the ability to outplay the opponents. he is small but he was the top rebounder for wvu. he has a great ability to shoot the ball. on msnsportsnet.com wvus official website he said he will have worked out with 21 different teams come draft time and he says the teams were interested in him.
1,what job did u want most when u were little?,"apparently when i was 4, i was desperate to be a milk-lady!!","I knew that I wanted to be a teacher when I was younger because I used to play ""school"" with my younger brothers and sisters.  I think, though, they didn't enjoy it as much as I did - they said I was too mean...making them do actual homework.  :)"
4,what is balancing equations?,,"if you mean in chemistry, it refers to making sure that there is an equal amount of mass on both sides of the equation, so that none is lost during the reaction. all of the matter has to somehow get through to the other side, even if it winds up being a different state of matter (such as a solid precipitate being formed, or a gas given off.) if you need more help ask a teacher."
6,do you think D-Wade will become the next Mike jordan?,,"I hate to keep on hearing this question but I think it is because the league (and all fans) are just hurting to find the next Michael Jordan.  It happened with Kobe, Vince Carter, Grant Hill, etc..  This last finals thats all I would hear.  Wade would be the next Michael (after the 4th game mind you).  But I do not think he will be as good as Michael.  I think they are giving Wade too much credit, he is still very young.  And he has earned this respect from refs in just 3 yrs.  And I think this whole fall 7 times get up 8 thing has gone to his head.  He falls for every little touch now.  Soon kids everywhere are going to be falling down on the court with every little touch to get a foul called.  I do not think he has been in this league long enough to be getting touch fouls called on him.  It took Jordan a hell of a lot longer, but I think that goes back to the league really hurting for another Michael Jordan.  But don't get me wrong, I think Wade is a great player.  He has a great mid-range jumpshot, is great at getting fouls called, great at the free throw line (which gets his midrange jumpshot going), and an ok driver to the basket and finisher.  But no way the next Michael Jordan."
10,Is it difficult for an American to emigrate to  Spain?,,"I shouldn't think so ...only thing they like you to have in Spain is lots of money..I`m English and lots of our ""Drug Barons"" are moving there with their ""I`ll gotten gains"" to start a new life as ""Respectable Citizens""..the Costa's seems to be all Ex Brit low lives....."
5,How do you Make columns for paragraphs on Microsoft Word?,"Im trying to do a newspaper project, but I cant get columns for it to make it look like a real newspaper. Please Help!","In Microsoft Word go up to the toolbar at the top of the page. If you don't see the alignment options visible, you should have a drop down arrow option that will give you more options for your toolbar. You should see alignment there. The icon looks like a 3-columned doc. If you choose that option by clicking on it, your doc will have columns."
4,which is the better  (information tchnology or information &communication technology)?,,"definitely info + comms tech.. this is because IT is not enough by itself these days - it's all about communication incorporated via media such as the Internet, Mobile technology, etc etc. so if you go for just IT, you're going backwards in time. It's going to be obsolete soon anyway. stick with ICT"
10,what is the meaning of inmate?,,"According to Encarta Dictionary, an inmate is someone who is confined either to a prison or to a psychiatric hospital."
10,who is our cm?,,Hello Friend! \\n  Our cm is our brain. Some one will say it is our heart. A few will say a good friend is our cm.
6,What's WHIP?,Baseball,"Walks and hits per inning pitch.  This is more or less the number of baserunners a pitcher allows an inning... this is also considered a more accurate representation of how good a pitcher is (much more so than ERA).\\n\\nA excellent WHIP is 1.00 or under; usually only the top closers and maybe one or two starters have WHIPs this low.  A WHIP of 1.50 I'd think would be average, anything above that is... not very good."
10,who's evo morales?,,"Juan EVO MORALES ayma is the President of Bolivia, and claims to be the country's first good looking head of state in over 450 years since the Spanish Conquest."
10,Place your bets:  How many minutes into the State of the Union speech will it be before Bush brings up 9/11?,Other bets:\\n\\nHow many times will he use 9/11 as an excuse to increase government intrusion in American lives?\\n\\nHow many times will he smirk?\\n\\nHow many words will he mispronounce?\\n\\nHow many worn-out talking points will he spew?,"Within the first 5 minutes he will mention 9/11 (amazing how he has turned the biggest failure in our nation's history into the high point of his career) he will also remind us that we're at war with terrism in the first 5 minutes and repeat that and 9/11 at least four more times.\\nHe will smirk once and then keep that stupid smirk on his face for the entire speech.\\nHe will mispronounce at least ten words. He will mispronounce nucular at least 5 times and terrism and terrists 15 times each.\\nHe will wear out every worn out talking points he has already worn out, which are too many to count.\\n\\nBonus points names you will not hear: Rove, Delay, Abrahamoff, Enron, Kenny Boy Lay, Scooter Libby, Brownie, Halliburton."
9,"women only : If i like a girl that i c at a mall,what is the most unthreating way to know her ?",,"u can start by saying hi... if she seems interested, ask her to go wit u to a movie on some nit or something"
8,"Hey, does any one know the name of the song playing in the advert for pimp my ride uk?","Does anyone know the band and title of the song currently used for the above show.... 'I'm a liar, I'm a cheat, a bummer and a freak'....",I don't know but I do know is that they should be all wearing suits from http://www.pimphats.com but they aren't.  Too bad!
10,Legal  Research ?,Do  anyone  know  some  good  websites  pertaining  to  Appeals   in  Criminal  Justice  including  case  summaries  besides  Case Law  for  Analytical  research.,www.findlaw.com
3,Is your pee supposed to be warm when it comes out?,,"yes, because your internal temperature is generally warmer than the outside temperature."
2,what's the difference between acid and bases and acid and alkaline?,"When the PH is greater than 7, is it called a ""base"" or is it called ""alkaline""","The terms acid and/or base describe the solutions themselves (nouns).  \\n\\nThe terms acidic/basic/alkaline are discriptive terms regarding the condition or state (adjectives).\\n\\nNaOH is a base and has a ""basic""/""alkaline"" pH.\\n\\nHCl is an acid, and has an ""acidic"" pH.\\n\\nThe adjective ""basic"" means the same thing as ""alkaline"" and the terms are interchangable."
9,My friend who is a guy...........?,"I have this guy who's like my best friend. He just moved here this year in August from New York. First he likes this really popular girl. THen all of a sudden he tried to go out with another girl because the first one dumped him on Valentines day. I told him he was trying to go out with the second girl for all the wrong reasons. He still liked the first girl who dumped him and he's been tryin to see what she thinks of him. On monday he was still liked obsessed with her, but it was fine with me. He liked her a lot. He finds out that another girl in our class likes him because the girl that 1st dumped him kept asking him what he thought of this other girl Charlie. He told her that she was ok. Then he finds out Charlie want to go out with him. HE says he will, but Charlie was gonna ask him after skool. I passed a note to him and he says that he remembers he liked her at the begginning of the year, so he will go out with her. Charlie asks him out and he says yes............................","Sounds like your friend just wants to be accepted... or possibly... just a ladies man. Unfortunately, as you get older you will see a lot of guys jump from one girl to another. My prediction is that he will date a lot of different girls and when it comes down to it in the end, when he is tired of all the dating, he will find comfort in his best friend... YOU"
