8,can you watch home and away in the northern territory and what channel?,can you watch home and away in northern territory,I assume so. On network 7
9,How come most Hollywood couples keep their wedding date a secret but everyone knows TomKat's wedding date?,"well, some hollywood stars acctually give the press the \\n\\nWRONG DATE, so they won't get swamped at the wedding\\n\\nwhy not tomkat?",They live for the lime-light...it is probably the same reason that they kept the baby under wraps for so long...they just wanted the press coverage.
7,I want to find the registered (licensed) mutual funds in Hong Kong?,,There is an exchange traded fund for Hong Kong traded on our exchanges. The symbol is EWH.
7,How to be effective fast-food manager?,"I am currently in the training process to become an Assistant Team Leader (basically lower assistant manager) at a chick-fil-a. I was formerly a team member (crew), How can I be an effective fast-food manager? What good and bad traits have you seen from fast food managers in this industry? If youre a manager, how do you run the place? Give personal stories if you have them.","Congratulations on your promotion! \\n\\nYour goal is to motivate your employees to accomplish the goals of the organization.\\n\\nBe supportive and encouraging of your employees. You are the team leader and make sure that you show them that you are willing and able to help them, especially when it's busy. Always remember what it's like to be an entry level employee so you don't forget what motivated you.\\n\\nEncourage your employees to do their best. When they screw up, don't yell! Instead, calmly talk to them and help them to learn how to stop making the mistakes. \\n\\nRemember that in training it's not just explaining it, but ensuring that the employee UNDERSTANDS what to do. People learn best by doing, rather than just being told. So show them and carefully explain, then watch them to make sure they understand.\\n\\nPraise the good work they do. Recognize the people when they do something to take care of the customer. Commend an employee when they go out of their way to gain customer satisfaction.\\n\\nDo NOT belittle an employee, and don't gossip. As a fast food manager, you want the employees to work together as a team. \\n\\nEach day, try to remember something the employees did well and commend them for doing that.\\n\\nBe approachable to the employees and you will build their trust.\\n\\nThe best supervisor I ever had would come up and tell me that he  appreciated my work and was glad that I was working for him. Then he would ask me how I liked my job and there was anything he could do to make my job easier or if I was having problems with anything. You know what, he had the employees going out of their way to make sure he was happy.\\n\\nDon't hide information from them. It ticks me off when I'm told to do something but not given information WHY I'm doing something. \\n\\nCredibility is important. Walk the walk. Maintain integrity with them. If you promise them something, deliver onthat promise or explain to them why you cannot deliver what you promised.\\n\\nThere will be those problem employees that are not motivated to work - they are there only for a paycheck or to socialize with their friends. I'd recommend doing a search on motivational strategies. \\n\\nGood luck to you! If you are asking questions like this, it sounds like you are definitely trying to make a good impression. And you know what? A person who makes an effort deserves the benefit of the doubt. Just remember to stay focused on your goals. If you keep a positive, can do attitude, you will do very well.\\n\\nCongratulations and best wishes on your future!"
1,Does everyone have the magical gift of faith?,Or is it given to only those who pray or are Christian?,"I would not use the term ""magical"".  ""Mystical"", perhaps.\\n\\nEveryone CAN have it.  All they have to do is *ask* God.  Faith itself is a gift, as you have said.  Gifts are freely given (that's what GRACE is all about)...but they must also be freely RECEIVED.\\n\\nEpistle of James 1:5 If any of you lack wisdom, let him ask of God, who gives to all men liberally, and without reproach; and it shall be given him.\\n\\n1:6 But let him ask in faith, without wavering. For he who wavers is like a wave of the sea driven by the wind and tossed."
1,why are some girls so vulgar?,"don't you guys think it's vulgar if a girl is like really fat but she wears clothing that reveals TOO much and all her fat is hanging out and disgusting and her cleavage is basically like popping out. and she goes around hugging all the boys . . . and she has no modesty, no control over herself, no nothing. and she's only a teenager. she also goes around flirting with teachers\\nwho agrees with me that she is vulgar . . . .",Me! I hate that I think they r  nasty and they get on my nerves omg that so gross! Ew! I almost wanna slap them!
1,"I have a really wonderful sister, how can I thank her for always being so great?",,Hugs are always a nice way of expressing your gratitude and love :)
8,what last song did elliot yamin sing @ the american idol finale?,a chair is not a house...i'm not meant to be alone....,"""A House is not a Home"" by Luther Vandross"
7,do you think that individuals who file bankruptcy or are over their head in debt are immoral?,"Do you think that individuals who have credit cards, but can not pay more than the minimum payments (which means they can not pay back that debt) or all individuals who have ever filed bankruptcy are immoral? Interesting question here. Just curious what others think?","Immoral? Filing for bankruptcy was the hardest thing I ever did. People get into debt for various reasons - divorce, illness, poor money management, easy access to credit and numerous other reasons. Filing for bankruptcy involves quite a bit more than walking into a trustee's office and signing some papers. Sometimes life doesn't go according to your plans and filing for bankruptcy is usually a last resort, not a question of morality. It's not ""taking the easy way out"" at all. Why morality would even enter into decision to claim bankruptcy is beyond me. How easy it is to judge someone in that position; just hope it doesn't happen to you one day."
1,just wondering what people think about Mexicans march to support migrants in U.S?,,"i think God owns all the land and he will give it to who ever he wants.\\n\\nbut on the other side of the coin. i thank mexicans should be in mexico fighting for rites in their own country so that thay do not have to cross the border to come to this country. but seeing how you are to lazy to work for you future and that it is easier to cross the border and have handed to you what we have fought for i dont see why you would want to.\\n\\nby the way, no this is not your country, it was given to us by your country over a 150 years ago. i did not see you trying to come here a hundred years ago when there was nothing, but now that we have built it up and made it produce you think it is yours. no to bad."
4,Can you tell me Five non-living things floating on water and five non-living things sink in water ?,,"A boat, a balloon, a feather, wood, and ice will float.\\nA brick, a rock, a computer, a treadmill, and a bullet will not."
8,SCORPIOS...........tell me about yourself..........?,"Im a scorpio through and through but there are a few things that dont match.  Im not a very secretive ""mysterious"" person and im not anti social.  But i am very seductive, emotional, and can get very vindictive when needed.......even though usually im nice lol.........SCORPIOS:  Tell me about you traites that fit and dont fit this sign and if you know anything out of the ordinary about this sign tell me.","I match in most of the description but as I put elsewhere, it depends on many factors not just the sun sign on how the scorp will handle itself.\\nI am very secretive about certain areas whereas others I am open, I am very friendly and out going but at times will hide off to be alone to regroup... I can be very seductive (attracting woman who are sometimes out of my normal MO for dating), highly emotional to the point of almost getting fired about once a year for not keeping my emotions in check  and am not vindictive unless someone so totally messes with me that the emotional side usually surfaces first."
7,Have you ever felt like you were going crazy?,What did it feel lkie and what did you do at the time? Have you gotten over it?,"yeah, when my mon passed away I was in some kind of numbness like for 6 months in denial, then depressed and eventually i got over it....lots of meditation helped"
10,will the us invade Cuba when Castro dies?,,"I dont think invasion. But I would love to see the US and Cuba improve relations. Cuba is a wonderful country. Beautiful, and the people are great. It is a jewel in the Caribbean, and I have traveled extensively thoughout the Caribbean. Both nations would greatly benefit from improved relations."
8,Why does your singing voice change when you become older?,As I have become older my singing voice seems to be changing. I can't seem to sing higher than i used to why is that,"Changes in the singing voice are caused by physical changes in the larynx. At puberty, your body is growing and the increase in the size of your larynx causes the first voice change. As you age further, the vocal folds (which are mere folds in the muscle, not chords as so many people believe) grow looser, making it more difficult to hit those high notes."
5,how can I be a prgrammer?,,http://www.programmingtutorials.com/\\nclick the link above to learn programming
9,i hav this crush and i am way 2 shy to talk to him(see more details)wat should i do?,i am way embarrased to talk to him.i can't even say HI!!!!!!.....he knows tat i hav one on him.:(,"o im good at this\\ncuz i know where ur coming from\\nim me at chic4god2007\\nor email me there\\ntell me where u see him, school, grocery store, church?\\nand how do u think he knows, did someone tell him\\nor he has that lil grin on his face that tells u that\\nor does he act all consceited\\n:)\\nwb ok?\\nill give u great advice"
